lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1586446152.965551,164.915,265.81,2026.855,1198.88,196.49,172.84,564.1,142.08,121.35,173.675,117.815,101.31,49.79,270.665,57.645,57.825,264.86,30.355,81.92,202.89,84.95,49.12,35.18,24.55,132.93,105.225,44.81,41.255,124.005,39.95,364.78,53.32,37.15,264.19,315.34,86.055,84.83,144.88,299.58,58.62,120.14,86.06,216.71,153.115,183.69,101.275,44.44,77.24,308.465
1586446213.209067,164.91,265.81,2026.5,1198.88,196.45,172.83,564.12,142.06,121.52,173.71,117.765,101.5,49.87,270.87,57.69,57.735,265.05,30.375,81.945,202.89,85.1,49.09,35.18,24.54,132.93,105.18,44.925,41.255,124.005,39.95,364.71,53.35,37.175,264.5,315.78,86.115,84.805,145.06,299.57,58.68,120.74,86.18,216.62,153.19,183.6,101.205,44.57,77.27,308.38
1586446273.419565,164.975,265.76,2028.01,1198.88,196.54,172.815,564.39,142.24,121.655,173.77,117.93,101.62,49.87,270.77,57.705,57.735,264.88,30.385,82.0,202.89,85.1,49.255,35.19,24.53,133.22,105.21,44.935,41.28,124.005,39.95,364.95,53.39,37.23,264.49,315.74,86.115,84.87,145.075,299.57,58.765,120.74,86.245,216.62,153.19,183.41,101.3,44.695,77.335,308.755
1586446333.722888,164.88,265.9,2026.73,1198.75,196.47,172.99,564.39,142.675,121.61,173.88,117.63,101.45,49.85,271.325,57.7,57.71,265.44,30.37,81.99,202.88,85.1,49.23,35.15,24.475,133.22,105.21,44.935,41.275,124.005,39.98,365.27,53.33,37.205,263.94,315.64,86.31,84.825,145.085,299.81,58.75,120.74,86.375,216.62,153.21,183.9,101.21,44.71,77.36,308.755
1586446397.178557,164.99,265.77,2026.73,1198.73,196.475,173.09,564.39,142.465,121.645,173.915,117.595,101.45,49.8,271.41,57.71,57.72,265.11,30.34,81.975,202.715,85.1,49.23,35.125,24.505,133.22,105.21,44.905,41.32,124.005,39.975,365.15,53.32,37.165,264.025,316.28,86.34,84.82,145.075,299.785,58.75,120.74,86.3,216.62,153.37,183.435,101.1,44.675,77.33,308.72
1586446457.630614,164.73,265.57,2025.435,1197.38,196.415,172.84,563.29,142.49,121.55,173.705,117.54,101.42,49.78,271.185,57.695,57.62,265.5,30.315,81.96,202.43,85.1,49.1,35.1,24.485,133.045,104.91,44.82,41.3,124.005,39.965,364.82,53.27,37.155,264.26,315.79,86.34,84.765,145.01,299.785,58.68,120.57,86.3,216.62,153.255,183.435,101.06,44.67,77.34,308.165
1586446518.006357,164.855,265.98,2025.425,1198.25,196.5,173.19,563.65,142.62,121.43,173.89,117.58,101.42,49.83,271.315,57.775,57.635,265.69,30.345,81.89,202.7,85.1,49.105,35.07,24.515,133.06,105.095,44.835,41.375,124.005,39.995,365.63,53.26,37.19,264.26,316.355,86.245,84.91,145.255,299.35,58.715,120.56,86.32,216.62,153.62,183.49,101.14,44.625,77.41,308.165
1586446578.341118,164.93,265.98,2025.425,1199.48,196.42,173.11,563.65,142.555,121.48,173.66,117.39,101.38,49.83,271.33,57.795,57.63,265.93,30.345,81.955,202.54,85.29,49.12,35.075,24.54,133.06,105.105,44.765,41.365,124.005,39.995,365.315,53.32,37.1,264.26,316.13,86.245,84.86,145.035,299.805,58.715,120.56,86.39,216.665,153.62,183.94,100.965,44.565,77.345,308.595
1586446638.772648,164.95,265.84,2025.425,1198.77,196.565,172.97,563.65,142.535,121.58,173.87,117.395,101.17,49.87,271.33,57.795,57.63,265.785,30.32,81.905,202.41,85.29,49.105,35.145,24.49,132.945,105.1,44.8,41.35,124.005,39.995,365.65,53.315,37.105,264.21,316.15,86.03,84.875,145.07,300.05,58.605,120.56,86.295,216.69,153.565,183.94,100.87,44.65,77.48,308.305
1586446699.132606,164.965,266.375,2025.425,1198.77,196.635,173.11,565.645,142.585,121.58,173.975,117.68,101.36,49.94,271.33,57.915,57.65,266.51,30.395,82.11,202.75,85.29,49.225,35.185,24.535,132.945,105.415,44.905,41.445,124.005,39.995,365.64,53.38,37.115,265.29,316.365,86.0,84.98,145.13,300.03,58.795,120.56,86.47,216.69,153.745,184.17,101.065,44.65,77.62,308.81
1586446759.454259,165.245,266.93,2030.32,1198.77,196.525,173.415,565.645,142.75,121.615,174.29,117.63,101.53,49.98,271.33,57.93,57.65,266.67,30.425,82.13,202.75,85.29,49.215,35.185,24.585,133.27,105.315,45.035,41.5,124.005,39.995,365.99,53.37,37.185,265.365,316.365,86.155,85.01,145.47,300.01,58.77,120.56,86.48,216.69,153.745,184.43,101.205,44.7,77.645,309.31
1586446819.663313,165.29,267.43,2031.67,1202.47,196.595,173.5,566.705,142.54,121.57,174.29,117.525,101.53,50.08,271.33,57.915,57.73,266.53,30.405,82.09,202.8,85.29,49.215,35.205,24.505,133.27,105.315,44.99,41.415,124.005,40.045,366.805,53.42,37.22,265.365,316.755,86.155,85.04,145.38,300.01,58.695,120.56,86.345,216.9,153.745,184.4,101.25,44.7,77.55,309.04
1586446879.882157,165.515,267.43,2031.67,1202.85,196.32,173.52,567.54,142.615,121.6,174.23,117.715,101.57,50.11,272.09,58.065,57.73,266.765,30.42,82.09,202.8,85.29,49.285,35.245,24.535,133.52,105.26,45.0,41.465,124.005,40.045,366.65,53.46,37.265,265.84,316.73,86.155,85.04,145.39,299.82,58.695,120.56,86.42,216.9,154.52,184.545,101.285,44.725,77.525,309.005
1586446940.125242,165.33,267.43,2031.1,1202.61,196.24,173.4,567.15,142.57,121.68,173.99,117.975,101.48,50.16,272.09,58.0,57.74,266.61,30.415,82.06,202.63,85.29,49.305,35.265,24.505,133.5,105.26,44.89,41.44,124.005,40.065,367.035,53.47,37.225,265.84,316.55,86.155,84.98,145.13,300.205,58.72,120.56,86.32,217.045,154.745,184.51,101.23,44.765,77.435,308.36
